timestamp,fecha,mes,dia_semana,dia_semana_num,hora,turno,AT_1,AT_2,FI_1,FI_2,FI_3,R_1,R_2,R_3,E_1,E_2,E_3,E_4,score_tangibles,score_fiabilidad,score_responsiveness,score_empatia,score_servqual_total,D_1,satisfaccion_nivel,NPS,nps_categoria,C_1,calidad_nivel,INFO,info_nivel,AÑOS,antiguedad_grupo,Giro,Puesto,Estado,Estado_limpio,region,poblacion_millones,pib_per_capita_miles,nivel_economico_estado,lat,long,region_simplificada,Giro_corto
2025-04-12 11:04:57,2025-04-12,4,Saturday,5,11,Mañana,3,4,3,4,4.0,3,4,4,3,4,4,4,3.5,3.67,3.67,3.75,3.65,6,Medio,9,Promotor,3,Regular,7,Parcialmente informado,10,Veterano,Educación,Coordinador,Chiapas,Chiapas,Sureste,5.54,58.0,Bajo,16.7569,-93.1292,Sureste,Educación
2025-04-12 12:10:25,2025-04-12,4,Saturday,5,12,Tarde,4,3,4,4,3.0,3,4,4,3,3,3,4,3.5,3.67,3.67,3.25,3.52,8,Alto,8,Pasivo,4,Bueno,8,Bien informado,1,Nuevo,Empresa,Gerente,Jalisco,Jalisco,Occidente,8.35,183.0,Medio,20.6595,-103.3494,Occidente,Empresa
2025-04-12 13:30:19,2025-04-12,4,Saturday,5,13,Tarde,4,4,4,4,4.0,4,4,3,4,4,3,4,4.0,4.0,3.67,3.75,3.86,8,Alto,8,Pasivo,4,Bueno,7,Parcialmente informado,13,Veterano,Educación,Coordinador,Jalisco,Jalisco,Occidente,8.35,183.0,Medio,20.6595,-103.3494,Occidente,Educación
2025-04-12 16:00:44,2025-04-12,4,Saturday,5,16,Tarde,4,4,3,3,4.0,3,3,4,5,3,5,4,4.0,3.33,3.33,4.25,3.73,7,Medio,8,Pasivo,4,Bueno,8,Bien informado,3,Establecido,Empresa,Supervisor,Chihuahua,Chihuahua,Norte,3.74,218.0,Alto,28.633,-106.0691,Norte,Empresa
2025-04-12 17:58:08,2025-04-12,4,Saturday,5,17,Tarde,5,4,5,4,4.0,5,4,4,3,4,4,5,4.5,4.33,4.33,4.0,4.29,9,Alto,9,Promotor,5,Bueno,9,Bien informado,1,Nuevo,Teletón (Grupos internos de la Fundación),Persona física,Yucatán,Yucatán,Sureste,2.32,149.0,Medio,20.7099,-89.0943,Sureste,Teletón (Grupos internos de la Fundación)
2025-04-13 13:08:46,2025-04-13,4,Sunday,6,13,Tarde,4,3,4,5,4.0,5,4,5,5,5,5,5,3.5,4.33,4.67,5.0,4.38,10,Alto,10,Promotor,5,Bueno,9,Bien informado,3,Establecido,Educación,Asistente,Aguascalientes,Aguascalientes,Centro-Norte,1.43,198.0,Medio,21.8853,-102.2916,Centro,Educación
2025-04-13 20:12:20,2025-04-13,4,Sunday,6,20,Noche,3,3,5,5,5.0,3,5,4,4,4,5,4,3.0,5.0,4.0,4.25,4.06,9,Alto,9,Promotor,5,Bueno,10,Bien informado,2,Nuevo,Educación,Persona física,Yucatán,Yucatán,Sureste,2.32,149.0,Medio,20.7099,-89.0943,Sureste,Educación
2025-04-14 09:32:30,2025-04-14,4,Monday,0,9,Mañana,3,4,4,4,4.0,3,3,5,5,5,4,4,3.5,4.0,3.67,4.5,3.92,8,Alto,9,Promotor,5,Bueno,9,Bien informado,1,Nuevo,Empresa,Supervisor,Guerrero,Guerrero,Sur,3.54,79.0,Bajo,17.4392,-99.5451,Sur,Empresa
2025-04-14 09:35:44,2025-04-14,4,Monday,0,9,Mañana,4,4,3,4,4.0,3,3,4,4,4,4,5,4.0,3.67,3.33,4.25,3.81,8,Alto,8,Pasivo,4,Bueno,8,Bien informado,1,Nuevo,Educación,Asistente,Guerrero,Guerrero,Sur,3.54,79.0,Bajo,17.4392,-99.5451,Sur,Educación
2025-04-14 09:38:22,2025-04-14,4,Monday,0,9,Mañana,4,3,4,4,3.0,3,4,4,4,5,4,4,3.5,3.67,3.67,4.25,3.77,8,Alto,9,Promotor,5,Bueno,9,Bien informado,2,Nuevo,Empresa,Gerente,Guerrero,Guerrero,Sur,3.54,79.0,Bajo,17.4392,-99.5451,Sur,Empresa
